patient number,Mean Absolute error,Mean Squared Error,Mean Absolute Percentage Error
1,5.206896551724138,41.96551724137931,6.745193210066529
2,4.702127659574468,43.765957446808514,6.344600986397688
3,8.380952380952381,104.95238095238095,13.667338702707191
4,8.681818181818182,111.0,13.208019215872813
5,5.666666666666667,57.42857142857143,7.080844844294595
6,3.25,18.113636363636363,4.7949509874860805
7,1.813953488372093,11.348837209302326,2.9506754403674327
8,13.789473684210526,411.0,15.328998934595162
9,1.0222222222222221,2.933333333333333,1.4798214155455942
10,5.116279069767442,39.348837209302324,6.860409246667045
11,5.704545454545454,62.38636363636363,8.11253273324831
12,nan,nan,nan
13,8.69047619047619,119.02380952380952,13.624619871221705
14,3.761904761904762,30.80952380952381,5.201982336692712
15,5.2,56.15,8.213681455602885
16,8.21951219512195,95.63414634146342,9.602550191080967
17,4.926829268292683,45.90243902439025,7.8761899855043245
18,6.35,63.5,9.645569415356203
19,10.75,169.9,16.11633667773951
20,6.190476190476191,67.61904761904762,9.93101198672791
21,8.928571428571429,116.83333333333333,9.93636135857977
22,4.365853658536586,40.170731707317074,5.093951219611922
23,8.8,117.45,14.260573537372808
24,5.928571428571429,56.357142857142854,8.951603803318587
25,0.8536585365853658,2.4634146341463414,1.1949545862295736
26,2.951219512195122,19.0,4.149209367488554
27,1.2,6.05,1.952707006164995
28,5.902439024390244,73.8048780487805,8.81550477897877
29,3.142857142857143,17.952380952380953,4.161690269917186
30,3.35,24.95,4.261096801374141
31,1.4878048780487805,4.902439024390244,1.9659276489923752
32,12.9,212.35,14.70707000171742
33,2.292682926829268,11.365853658536585,3.632191132836938
34,11.880952380952381,187.21428571428572,13.322587015966722
35,9.097560975609756,119.6829268292683,11.529899673045461
36,4.146341463414634,34.09756097560975,6.610914491560599
37,2.225,17.025,3.009916476200482
38,2.8048780487804876,15.634146341463415,4.409004123810966
39,13.725,228.425,16.63586901732487
40,2.926829268292683,20.390243902439025,3.89208136396258
